stock,endDate,totalRevenue,costOfRevenue,grossProfit,totalOperatingExpenses,sellingGeneralAdministrative,operatingIncome,ebit,incomeBeforeTax,incomeTaxExpense,netIncome
TUP,2017-12-30,2255800000,740700000,1515100000,1903300000,1145900000.0,352500000,352500000,185100000.0,450500000,-265400000
TUP,2016-12-31,2213100000,714700000,1498400000,1885800000,1152800000.0,327300000,327300000,301300000.0,77700000,223600000
MTNB,2019-12-31,89812,11234548,-11144736,19010848,7776300.0,-18921036,-18921036,-17372651.0,0,-17372651
MTNB,2018-12-31,119750,6787474,-6667724,14766295,7978821.0,-14646545,-14646545,-14589993.0,-506920,-14083073
MTNB,2017-12-31,149687,9010499,-8860812,16652091,7641592.0,-16502404,-16502404,-15843445.0,-356956,-15486489
FTCH,2019-12-31,1021037000,561191000,459846000,1415426000,656437000.0,-394389000,-394389000,-372526000.0,1162000,-385297000
FTCH,2018-12-31,602384000,303934000,298450000,775700000,380005000.0,-173316000,-173316000,-153417000.0,2158000,-155575000
FTCH,2017-12-31,385966000,181200000,204766000,476480000,252689000.0,-90514000,-90514000,-112105000.0,170000,-112275000
FTCH,2016-12-31,242116000,125238000,116878000,322296000,177892000.0,-80180000,-80180000,-81260000.0,199000,-81414000
CERS,2019-12-31,74649000,33419000,41230000,140875000,66205000.0,-66226000,-66226000,-70981000.0,263000,-71244000
CERS,2018-12-31,60908000,31634000,29274000,115896000,56841000.0,-54988000,-54988000,-57335000.0,229000,-57564000
CERS,2017-12-31,43568000,22531000,21037000,101098000,52615000.0,-57530000,-57530000,-56698000.0,3887000,-60585000
CERS,2016-12-31,37183000,20295000,16888000,98480000,48955000.0,-61297000,-61297000,-62731000.0,175000,-62906000
OSUR,2019-12-31,154344000,60022000,94322000,144746000,65356000.0,9598000,9598000,21331000.0,4675000,16656000
OSUR,2018-12-31,170379000,68130000,102249000,140803000,58134000.0,29576000,29576000,31716000.0,11320000,20396000
OSUR,2017-12-31,166375000,68108000,98267000,138637000,57853000.0,27738000,27738000,41032000.0,10084000,30948000
OSUR,2016-12-31,122798000,40171000,82627000,107933000,58008000.0,14865000,14865000,20323000.0,603000,19720000
WTS,2019-12-31,1600500000,923000000,677500000,1398200000,435600000.0,202300000,202300000,183900000.0,52400000,131500000
WTS,2018-12-31,1564900000,908400000,656500000,1373100000,430200000.0,191800000,191800000,174600000.0,46600000,128000000
WTS,2017-12-31,1456700000,854300000,602400000,1286600000,403300000.0,170100000,170100000,143100000.0,70000000,73100000
WTS,2016-12-31,1398400000,832800000,565600000,1256900000,397600000.0,141500000,141500000,127800000.0,43600000,84200000
PDCE,2019-12-31,1238213000,188601000,1049612000,1182137000,154453000.0,56076000,56076000,-59994000.0,-3322000,-56672000
PDCE,2018-12-31,1313065000,168360000,1144705000,1234925000,170504000.0,78140000,78140000,7429000.0,5406000,2023000
PDCE,2017-12-31,864835000,122861000,741974000,1068935000,120370000.0,-204100000,-204100000,-339432000.0,-211928000,-127504000
PDCE,2016-12-31,477186000,78365000,398821000,750073000,100270000.0,-272887000,-272887000,-393123000.0,-147195000,-245928000
UBX,2017-12-31,1382000,37373000,-35991000,46990000,9617000.0,-45608000,-45608000,-44656000.0,0,-44656000
MDT,2020-04-24,28913000000,9264000000,19649000000,23462000000,9838000000.0,5451000000,5451000000,4055000000.0,-751000000,4789000000
MDT,2019-04-26,30557000000,9064000000,21493000000,23781000000,11866000000.0,6776000000,6776000000,5300000000.0,557000000,4724000000
MDT,2018-04-27,29953000000,9010000000,20943000000,23192000000,11752000000.0,6761000000,6761000000,5572000000.0,2570000000,3011000000
MDT,2017-04-28,29710000000,9246000000,20464000000,23600000000,9715000000.0,6110000000,6110000000,4602000000.0,578000000,4028000000
HRTX,2019-12-31,145968000,229001000,-83033000,356662000,127661000.0,-210694000,-210694000,-204749000.0,0,-204749000
HRTX,2018-12-31,77474000,165744000,-88270000,259111000,93367000.0,-181637000,-181637000,-178840000.0,0,-178840000
HRTX,2017-12-31,30767000,143170000,-112403000,225325000,82155000.0,-194558000,-194558000,-197484000.0,0,-197484000
HRTX,2016-12-31,1279000,103160000,-101881000,172194000,69034000.0,-170915000,-170915000,-173143000.0,0,-173143000
ALT,2019-12-31,5801401,17085463,-11284062,25586246,8500783.0,-19784845,-19784845,-20578631.0,-58500,-20520131
ALT,2018-12-31,10331168,18459310,-8128142,28224891,9765581.0,-17893723,-17893723,-45320946.0,-6149794,-39171152
ALT,2017-12-31,10738322,18406329,-7668007,26863886,8457557.0,-16125564,-16125564,-52063765.0,-5638375,-46425390
ALT,2016-12-31,3236175,7221460,-3985285,13656590,6435130.0,-10420415,-10420415,-11086812.0,0,-11086812
HTLD,2019-12-31,596815000,379426000,217389000,533381000,18903000.0,63434000,63434000,97178000.0,24211000,72967000
HTLD,2018-12-31,610803000,390337000,220466000,545979000,19027000.0,64824000,64824000,91917000.0,19240000,72677000
HTLD,2017-12-31,607336000,406645000,200691000,570466000,20850000.0,36870000,36870000,64498000.0,-10675000,75173000
HTLD,2016-12-31,612937000,377603000,235334000,536574000,26549000.0,76363000,76363000,86049000.0,29663000,56386000
CORR,2019-12-31,85945570,5242244,80703326,38421034,10596848.0,47524536,47524536,4314113.0,234618,4079495
CORR,2018-12-31,89231598,7210748,82020850,45201048,13042847.0,44030550,44030550,41293150.0,-2418726,43711876
CORR,2017-12-31,88749377,6729707,82019670,41563914,10786497.0,47185463,47185463,36681934.0,2345318,32602790
CORR,2016-12-31,89250586,6463348,82787238,41256599,12270380.0,47993987,47993987,30526988.0,-464420,29663200
ELS,2019-12-31,1046011000,487463000,558548000,694017000,55663000.0,351994000,351994000,295922000.0,0,279139000
ELS,2018-12-31,991592000,466942000,524650000,657659000,54321000.0,333933000,333933000,226386000.0,0,212612000
ELS,2017-12-31,929077000,443504000,485573000,613473000,46637000.0,315604000,315604000,210377000.0,0,197589000
ELS,2016-12-31,873040000,416080000,456960000,577675000,44418000.0,295365000,295365000,187132000.0,0,173263000
IRM,2019-12-31,4262584000,1833315000,2429269000,3483180000,991664000.0,779404000,779404000,328142000.0,59931000,267377000
IRM,2018-12-31,4225761000,1793954000,2431807000,3440451000,1006983000.0,785310000,785310000,410311000.0,42753000,353933000
IRM,2017-12-31,3845578000,1664825000,2180753000,3124381000,937180000.0,721197000,721197000,200977000.0,22962000,170113000
IRM,2016-12-31,3511453000,1555814000,1955639000,2876491000,868351000.0,634962000,634962000,148824000.0,44944000,104824000
SHLO,2019-10-31,1054707000,964131000,90576000,1038710000,72504000.0,15997000,15997000,-20558000.0,-611000,-19947000
SHLO,2018-10-31,1139944000,1023849000,116095000,1112220000,85999000.0,27724000,27724000,6260000.0,-5219000,11479000
SHLO,2017-10-31,1041986000,926631000,115355000,1013318000,84428000.0,28668000,28668000,6423000.0,7120000,-697000
SHLO,2016-10-31,1065834000,969498000,96336000,1045333000,73577000.0,20501000,20501000,-1483000.0,-5152000,3669000
MGPI,2019-12-31,362745000,286213000,76532000,315503000,29290000.0,47242000,47242000,45937000.0,7144000,38793000
MGPI,2018-12-31,376089000,292490000,83599000,325941000,33451000.0,50148000,50148000,48980000.0,11696000,37284000
MGPI,2017-12-31,347448000,271432000,76016000,304539000,33107000.0,42909000,42909000,52758000.0,10935000,41823000
MGPI,2016-12-31,318263000,252980000,65283000,279673000,26693000.0,38590000,38590000,44717000.0,13533000,31184000
GOOG,2019-12-31,161857000000,71896000000,89961000000,125375000000,27461000000.0,36482000000,36482000000,39625000000.0,5282000000,34343000000
GOOG,2018-12-31,136819000000,59549000000,77270000000,104224000000,23256000000.0,32595000000,32595000000,34913000000.0,4177000000,30736000000
